variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,seed,baseline_wrong_candidate_right,baseline_right_candidate_wrong,discordant_cases,exact_mcnemar_p
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,42,5,7,12,0.7744140625
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,43,6,14,20,0.11531829833984375
cov_empirical__trial_off__f2_3__fusion_soft_vote,combination_ablation,empirical,0,3,soft_vote,44,3,13,16,0.021270751953125
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,42,16,11,27,0.44206833839416504
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,43,7,9,16,0.803619384765625
cov_empirical__trial_off__f2_2__fusion_lda,combination_ablation,empirical,0,2,lda,44,6,11,17,0.332305908203125
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,42,19,11,30,0.20048842206597334
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,43,9,13,22,0.5234670639038086
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,44,5,15,20,0.04138946533203125
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,42,21,13,34,0.22948101302608848
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,43,13,10,23,0.6776394844055176
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,44,11,10,21,1.0
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,42,19,18,37,1.0
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,43,14,14,28,1.0
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,44,11,18,29,0.26493089646101
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,42,8,12,20,0.5034446716308594
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,43,10,13,23,0.6776394844055176
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,44,9,9,18,1.0
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,42,12,14,26,0.8450189828872681
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,43,12,19,31,0.28104151505976915
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,44,8,21,29,0.0241195447742939
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,42,20,15,35,0.4995598332025112
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,43,9,12,21,0.6636238098144531
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,44,8,15,23,0.21003961563110352
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,42,19,18,37,1.0
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,43,8,18,26,0.07551869750022888
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,44,9,22,31,0.029449373483657837
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,42,24,14,38,0.14330665429588407
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,43,16,10,26,0.32693958282470703
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,44,13,13,26,1.0
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,42,20,14,34,0.39152830513194203
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,43,12,16,28,0.5715881884098053
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,44,13,22,35,0.175465248990804
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,42,7,4,11,0.548828125
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,43,8,10,18,0.8145294189453125
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,44,4,7,11,0.548828125
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,42,9,12,21,0.6636238098144531
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,43,10,12,22,0.8318119049072266
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,44,6,13,19,0.1670684814453125
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,42,16,10,26,0.32693958282470703
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,43,11,10,21,1.0
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,44,5,8,13,0.5810546875
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,42,12,13,25,1.0
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,43,11,15,26,0.557197093963623
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,44,9,14,23,0.4048728942871094
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,42,24,13,37,0.09887174959294498
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,43,17,10,27,0.24778856337070465
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,44,9,12,21,0.6636238098144531
cov_ledoit_wolf__trial_off__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,0,1,soft_vote,42,17,15,32,0.860050065908581
cov_ledoit_wolf__trial_off__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,0,1,soft_vote,43,15,15,30,1.0
cov_ledoit_wolf__trial_off__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,0,1,soft_vote,44,10,22,32,0.050102459732443094
